"","czone","czonename","TotalHH14","TotalHH24","TotalHH34"
"1","36600","Redding, CA Metro Eureka-Arcata-Fortuna, CA Micro ",75283,84835,94387
"2","36700","Eureka-Arcata-Fortuna, CA Micro ",63141,65286,67431
"3","37000","Merced, Modesto Metro PLUS",342094,358866,375638
"4","37100","Bakersfield, CA Metro ",327397,340147,352897
"5","37200","Fresno, CA Metro PLUS",248739,306712,364685
"6","37300","Yuba City-Marysville, CA PLUS ",98393,111979,125565
"7","37400","Sacramento--Arden-Arcade--Roseville, CA Metro ",1400890,1494509,1588128
"8","37500","San Jose-Sunnyvale-Santa Clara, CA Metro ",1149936,1246157,1342378
"9","37700","Santa Rosa-Petaluma, CA Metro ",262056,277640,293224
"10","37800","San Francisco-San Mateo-Redwood City, CA Metro Division",2788384,2972761,3157138
"11","38000","San Diego-Carlsbad-San Marcos, CA Metro ",1560349,1654314,1748279
"12","38100","Yuma, AZ Metro El Centro Metro",62653,70930,79207
"13","38200","Santa Barbara, San Luis Obispo-Paso Robles, CA Metro ",341795,362295,382795
"14","38300","Los Angeles-Long Beach-Glendale, CA Metro Division",9131298,9561514,9991730
