"","czone","HHTYPE","Housing14Total","Housing24Total","Housing34Total","HousingCh_1424","HousingCh_2434","HousingChPct_1424","HousingChPct_2434","czonename"
"1","36600","mf_owner",173,224.035251334672,253.619182802898,51.0352513346723,29.5839314682254,0.228,0.117,"Redding, CA Metro Red Bluff Micro, CA Micro "
"2","36600","mf_renter",7198,8748.73300792288,9695.61916186218,1550.73300792288,946.886153939295,0.177,0.098,"Redding, CA Metro Red Bluff Micro, CA Micro "
"3","36600","sf_owner",22490,27882.5799247873,31023.8545008974,5392.57992478734,3141.27457611007,0.193,0.101,"Redding, CA Metro Red Bluff Micro, CA Micro "
"4","36600","sf_renter",10286,12654.6518159551,14031.9071544375,2368.65181595511,1377.25533848241,0.187,0.098,"Redding, CA Metro Red Bluff Micro, CA Micro "
"5","36700","mf_owner",198,208.89463893748,207.275896411687,10.8946389374803,-1.61874252579284,0.052,-0.008,"Eureka-Arcata-Fortuna, CA Micro "
"6","36700","mf_renter",7327,7719.26790256372,7750.04183442074,392.267902563716,30.7739318570266,0.051,0.004,"Eureka-Arcata-Fortuna, CA Micro "
"7","36700","sf_owner",17992,19062.3607577883,19149.5849263033,1070.36075778834,87.2241685149384,0.056,0.005,"Eureka-Arcata-Fortuna, CA Micro "
"8","36700","sf_renter",10879,11638.4767007105,11682.0973428643,759.476700710458,43.6206421538282,0.065,0.004,"Eureka-Arcata-Fortuna, CA Micro "
"9","37000","mf_owner",1010,1103.06185371163,1148.76863320374,93.0618537116329,45.7067794921043,0.084,0.04,"Merced, Modesto Metro PLUS"
"10","37000","mf_renter",26191,28463.7454328513,29721.4625304114,2272.74543285126,1257.71709756017,0.08,0.042,"Merced, Modesto Metro PLUS"
"11","37000","sf_owner",96411,109132.578899672,116465.695895421,12721.5788996723,7333.1169957487,0.117,0.063,"Merced, Modesto Metro PLUS"
"12","37000","sf_renter",56195,62196.6138137648,65404.0729409638,6001.61381376476,3207.45912719903,0.096,0.049,"Merced, Modesto Metro PLUS"
"13","37100","mf_owner",852,924.187738202989,968.025870950258,72.187738202989,43.8381327472689,0.078,0.045,"Bakersfield, CA Metro "
"14","37100","mf_renter",34421,37291.469145771,38978.3555196333,2870.46914577099,1686.88637386236,0.077,0.043,"Bakersfield, CA Metro "
"15","37100","sf_owner",97476,107279.083646123,114094.182901036,9803.08364612328,6815.09925491246,0.091,0.06,"Bakersfield, CA Metro "
"16","37100","sf_renter",48179,52423.2594699027,55103.4357083806,4244.25946990274,2680.17623847791,0.081,0.049,"Bakersfield, CA Metro "
"17","37200","mf_owner",609,904.003099142738,1086.9123713575,295.003099142738,182.909272214766,0.326,0.168,"Fresno, CA Metro PLUS"
"18","37200","mf_renter",20588,29048.2350571963,34283.6455651032,8460.23505719627,5235.41050790694,0.291,0.153,"Fresno, CA Metro PLUS"
"19","37200","sf_owner",80001,122747.447925268,149890.417139112,42746.4479252681,27142.9692138441,0.348,0.181,"Fresno, CA Metro PLUS"
"20","37200","sf_renter",39825,60003.3139183929,72512.0249244271,20178.3139183929,12508.7110060342,0.336,0.173,"Fresno, CA Metro PLUS"
"21","37300","mf_owner",16,21.0281124497992,24.5975903614458,5.0281124497992,3.56947791164659,0.239,0.145,"Yuba City-Marysville, CA PLUS "
"22","37300","mf_renter",8527,10648.1427982512,12231.198447333,2121.14279825122,1583.0556490818,0.199,0.129,"Yuba City-Marysville, CA PLUS "
"23","37300","sf_owner",27961,36376.1818009906,42475.1083647885,8415.18180099063,6098.92656379782,0.231,0.144,"Yuba City-Marysville, CA PLUS "
"24","37300","sf_renter",14322,18444.6472883083,21373.0955975171,4122.64728830835,2928.44830920873,0.224,0.137,"Yuba City-Marysville, CA PLUS "
"25","37400","mf_owner",7031,8096.55471974419,8722.13650717081,1065.55471974419,625.581787426619,0.132,0.072,"Sacramento--Arden-Arcade--Roseville, CA Metro "
"26","37400","mf_renter",153206,175717.987957798,187947.369669134,22511.9879577978,12229.3817113359,0.128,0.065,"Sacramento--Arden-Arcade--Roseville, CA Metro "
"27","37400","sf_owner",418335,501453.918770459,550695.101330062,83118.9187704593,49241.182559603,0.166,0.089,"Sacramento--Arden-Arcade--Roseville, CA Metro "
"28","37400","sf_renter",169246,199836.538551999,216387.392493633,30590.5385519987,16550.8539416345,0.153,0.076,"Sacramento--Arden-Arcade--Roseville, CA Metro "
"29","37500","mf_owner",19777,24112.0597731784,26641.6656973639,4335.05977317844,2529.60592418542,0.18,0.095,"San Jose-Sunnyvale-Santa Clara, CA Metro "
"30","37500","mf_renter",171687,211765.796297084,234381.119401342,40078.7962970837,22615.3231042585,0.189,0.096,"San Jose-Sunnyvale-Santa Clara, CA Metro "
"31","37500","sf_owner",297191,382123.593940711,431225.739989945,84932.5939407107,49102.1460492344,0.222,0.114,"San Jose-Sunnyvale-Santa Clara, CA Metro "
"32","37500","sf_renter",91153,116077.549989027,130072.474911349,24924.5499890272,13994.9249223216,0.215,0.108,"San Jose-Sunnyvale-Santa Clara, CA Metro "
"33","37700","mf_owner",1032,1172.89754406466,1235.73730828468,140.897544064662,62.8397642200189,0.12,0.051,"Santa Rosa-Petaluma, CA Metro "
"34","37700","mf_renter",23791,26779.8989455534,27860.419118322,2988.89894555343,1080.52017276856,0.112,0.039,"Santa Rosa-Petaluma, CA Metro "
"35","37700","sf_owner",74860,87488.7718584921,92788.2668609869,12628.7718584921,5299.49500249479,0.144,0.057,"Santa Rosa-Petaluma, CA Metro "
"36","37700","sf_renter",36117,41359.4316518898,43407.5767124064,5242.43165188978,2048.14506051662,0.127,0.047,"Santa Rosa-Petaluma, CA Metro "
"37","37800","mf_owner",73186,86079.2291733526,94137.8356677954,12893.2291733526,8058.60649444281,0.15,0.086,"San Francisco-San Mateo-Redwood City, CA Metro Division"
"38","37800","mf_renter",468239,552171.017452455,600872.046966205,83932.0174524549,48701.0295137505,0.152,0.081,"San Francisco-San Mateo-Redwood City, CA Metro Division"
"39","37800","sf_owner",706761,862950.761207954,957696.295540906,156189.761207954,94745.5343329516,0.181,0.099,"San Francisco-San Mateo-Redwood City, CA Metro Division"
"40","37800","sf_renter",218340,265039.992166238,291331.821825093,46699.9921662383,26291.829658855,0.176,0.09,"San Francisco-San Mateo-Redwood City, CA Metro Division"
"41","38000","mf_owner",37236,42953.2790529837,46636.0370047612,5717.27905298369,3682.75795177752,0.133,0.079,"San Diego-Carlsbad-San Marcos, CA Metro "
"42","38000","mf_renter",256727,297000.666286892,321207.243104081,40273.6662868925,24206.5768171883,0.136,0.075,"San Diego-Carlsbad-San Marcos, CA Metro "
"43","38000","sf_owner",385956,460909.606157251,508080.057921738,74953.6061572508,47170.4517644874,0.163,0.093,"San Diego-Carlsbad-San Marcos, CA Metro "
"44","38000","sf_renter",148082,175491.448502873,191795.66196942,27409.448502873,16304.2134665468,0.156,0.085,"San Diego-Carlsbad-San Marcos, CA Metro "
"45","38100","mf_owner",153,182.138303616379,196.83940457673,29.1383036163795,14.7011009603502,0.16,0.075,"Yuma, AZ Metro El Centro Metro"
"46","38100","mf_renter",5824,7229.6062202728,7944.48577523284,1405.6062202728,714.87955496004,0.194,0.09,"Yuma, AZ Metro El Centro Metro"
"47","38100","sf_owner",19285,25202.1915643986,28633.629862317,5917.19156439861,3431.43829791843,0.235,0.12,"Yuma, AZ Metro El Centro Metro"
"48","38100","sf_renter",8665,10821.0639117122,11930.0449578734,2156.06391171222,1108.98104616118,0.199,0.093,"Yuma, AZ Metro El Centro Metro"
"49","38200","mf_owner",2994,3514.6847517738,3873.41410620147,520.684751773803,358.729354427668,0.148,0.093,"Santa Barbara, San Luis Obispo-Paso Robles, CA Metro "
"50","38200","mf_renter",41532,47377.3461108953,50984.5870790279,5845.34611089528,3607.24096813263,0.123,0.071,"Santa Barbara, San Luis Obispo-Paso Robles, CA Metro "
"51","38200","sf_owner",80555,94729.1182620844,104174.220188246,14174.1182620844,9445.10192616122,0.15,0.091,"Santa Barbara, San Luis Obispo-Paso Robles, CA Metro "
"52","38200","sf_renter",46676,54191.8508752466,58894.778626525,7515.85087524656,4702.92775127848,0.139,0.08,"Santa Barbara, San Luis Obispo-Paso Robles, CA Metro "
"53","38300","mf_owner",141205,160441.311201075,173393.762145902,19236.3112010747,12952.4509448276,0.12,0.075,"Los Angeles-Long Beach-Glendale, CA Metro Division"
"54","38300","mf_renter",1442934,1631337.25389108,1746119.38820678,188403.253891082,114782.134315693,0.115,0.066,"Los Angeles-Long Beach-Glendale, CA Metro Division"
"55","38300","sf_owner",2185531,2574909.80561073,2829299.01682861,389378.805610728,254389.21121788,0.151,0.09,"Los Angeles-Long Beach-Glendale, CA Metro Division"
"56","38300","sf_renter",825025,956966.629297115,1036710.83281871,131941.629297115,79744.2035215993,0.138,0.077,"Los Angeles-Long Beach-Glendale, CA Metro Division"
