"","czone","Housing14Total","Housing24Total","Housing34Total","HousingCh_1424","HousingCh_2434","HousingChPct_1424","HousingChPct_2434","czonename"
"1","36600",40147,49510,55005,9363,5495,0.189,0.1,"Redding, CA Metro Red Bluff Micro, CA Micro "
"2","36700",36396,38629,38789,2233,160,0.058,0.004,"Eureka-Arcata-Fortuna, CA Micro "
"3","37000",179807,200896,212740,21089,11844,0.105,0.056,"Merced, Modesto Metro PLUS"
"4","37100",180928,197918,209144,16990,11226,0.086,0.054,"Bakersfield, CA Metro "
"5","37200",141023,212703,257773,71680,45070,0.337,0.175,"Fresno, CA Metro PLUS"
"6","37300",50826,65490,76104,14664,10614,0.224,0.139,"Yuba City-Marysville, CA PLUS "
"7","37400",747818,885105,963752,137287,78647,0.155,0.082,"Sacramento--Arden-Arcade--Roseville, CA Metro "
"8","37500",579808,734079,822321,154271,88242,0.21,0.107,"San Jose-Sunnyvale-Santa Clara, CA Metro "
"9","37700",135800,156801,165292,21001,8491,0.134,0.051,"Santa Rosa-Petaluma, CA Metro "
"10","37800",1466526,1766241,1944038,299715,177797,0.17,0.091,"San Francisco-San Mateo-Redwood City, CA Metro Division"
"11","38000",828001,976355,1067719,148354,91364,0.152,0.086,"San Diego-Carlsbad-San Marcos, CA Metro "
"12","38100",33927,43435,48705,9508,5270,0.219,0.108,"Yuma, AZ Metro El Centro Metro"
"13","38200",171757,199813,217927,28056,18114,0.14,0.083,"Santa Barbara, San Luis Obispo-Paso Robles, CA Metro "
"14","38300",4594695,5323655,5785523,728960,461868,0.137,0.08,"Los Angeles-Long Beach-Glendale, CA Metro Division"
