"","czone","mf_owner_Housing14Total","mf_owner_Housing24Total","mf_owner_Housing34Total","mf_renter_Housing14Total","mf_renter_Housing24Total","mf_renter_Housing34Total","sf_owner_Housing14Total","sf_owner_Housing24Total","sf_owner_Housing34Total","sf_renter_Housing14Total","sf_renter_Housing24Total","sf_renter_Housing34Total"
"1","36600",173,224,253.6,7198,8748.7,9695.6,22490,27882.6,31023.8,10286,12654.6,14031.9
"2","36700",198,208.9,207.3,7327,7719.3,7750,17992,19062.4,19149.6,10879,11638.5,11682.1
"3","37000",1010,1103.1,1148.8,26191,28463.8,29721.5,96411,109132.6,116465.7,56195,62196.6,65404.1
"4","37100",852,924.2,968,34421,37291.5,38978.4,97476,107279.1,114094.2,48179,52423.3,55103.4
"5","37200",609,904,1086.9,20588,29048.2,34283.7,80001,122747.4,149890.4,39825,60003.3,72512
"6","37300",16,21,24.6,8527,10648.1,12231.2,27961,36376.2,42475.1,14322,18444.7,21373.1
"7","37400",7031,8096.6,8722.1,153206,175718,187947.4,418335,501453.9,550695.1,169246,199836.5,216387.4
"8","37500",19777,24112.1,26641.7,171687,211765.8,234381.1,297191,382123.6,431225.7,91153,116077.6,130072.5
"9","37700",1032,1172.9,1235.7,23791,26779.9,27860.4,74860,87488.8,92788.3,36117,41359.4,43407.6
"10","37800",73186,86079.2,94137.8,468239,552171,600872.1,706761,862950.8,957696.3,218340,265040,291331.8
"11","38000",37236,42953.3,46636,256727,297000.7,321207.2,385956,460909.6,508080.1,148082,175491.5,191795.7
"12","38100",153,182.1,196.8,5824,7229.6,7944.5,19285,25202.2,28633.6,8665,10821.1,11930
"13","38200",2994,3514.7,3873.4,41532,47377.3,50984.6,80555,94729.1,104174.2,46676,54191.8,58894.8
"14","38300",141205,160441.3,173393.8,1442934,1631337.2,1746119.4,2185531,2574909.8,2829299,825025,956966.6,1036710.8
